dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.000000,16.050000,0.000040,0.003979,0.198952,9.947585,0.000000
0.020000,6.000000,16.050000,0.000040,0.000000,-0.198952,-19.895169,0.000000
0.020000,6.000000,16.050000,0.000040,0.000000,0.000000,9.947585,0.000000
0.020000,6.000000,16.050000,0.000040,0.000000,0.000000,0.000000,0.000000
0.020000,6.000000,16.050000,0.000040,0.000000,0.000000,0.000000,0.000000
0.020000,6.000621,16.050000,0.000661,0.031046,1.552302,77.615100,0.000000
0.020000,6.002571,16.050000,0.002610,0.097486,3.322014,88.485622,0.000000
0.020000,6.005117,16.050000,0.005157,0.127329,1.492138,-91.493838,0.000000
0.020000,6.008340,16.050000,0.008380,0.161151,1.691089,9.947585,0.000000
0.020000,6.012319,16.050000,0.012359,0.198952,1.890041,9.947585,0.000000
0.020000,6.017134,16.050000,0.017174,0.240732,2.088993,9.947585,0.000000
0.020000,6.022864,16.050000,0.022904,0.286490,2.287944,9.947585,0.000000
0.020000,6.029588,16.050000,0.029628,0.336228,2.486896,9.947585,0.000000
0.020000,6.037387,16.050000,0.037427,0.389945,2.685848,9.947585,0.000000
0.020000,6.046340,16.050000,0.046380,0.447641,2.884800,9.947585,0.000000
0.020000,6.056526,16.050000,0.056566,0.509316,3.083751,9.947585,0.000000
0.020000,6.068026,16.050000,0.068066,0.574970,3.282703,9.947585,0.000000
0.020000,6.080918,16.050000,0.080958,0.644603,3.481655,9.947585,0.000000
0.020000,6.095282,16.050000,0.095322,0.718216,3.680606,9.947585,0.000000
0.020000,6.111198,16.050000,0.111238,0.795807,3.879558,9.947585,0.000000
0.020000,6.128706,16.050000,0.128746,0.875387,3.979034,4.973792,0.000000
0.020000,6.147805,16.050000,0.147845,0.954968,3.979034,0.000000,0.000000
0.020000,6.168496,16.050000,0.168536,1.034549,3.979034,-0.000000,0.000000
0.020000,6.190779,16.050000,0.190819,1.114129,3.979034,0.000000,0.000000
0.020000,6.214653,16.050000,0.214693,1.193710,3.979034,-0.000000,0.000000
0.020000,6.240119,16.050000,0.240159,1.273291,3.979034,0.000000,0.000000
0.020000,6.267176,16.050000,0.267216,1.352872,3.979034,0.000000,0.000000
0.020000,6.295825,16.050000,0.295865,1.432452,3.979034,-0.000000,0.000000
0.020000,6.326066,16.050000,0.326106,1.512033,3.979034,0.000000,0.000000
0.020000,6.357898,16.050000,0.357938,1.591614,3.979034,0.000000,0.000000
0.020000,6.391322,16.050000,0.391362,1.671194,3.979034,0.000000,0.000000
0.020000,6.426338,16.050000,0.426378,1.750775,3.979034,-0.000000,0.000000
0.020000,6.462945,16.050000,0.462985,1.830356,3.979034,0.000000,0.000000
0.020000,6.501144,16.050000,0.501183,1.909936,3.979034,-0.000000,0.000000
0.020000,6.540934,16.050000,0.540974,1.989517,3.979034,0.000000,0.000000
0.020000,6.582316,16.050000,0.582356,2.069098,3.979034,0.000000,0.000000
0.020000,6.625289,16.050000,0.625329,2.148678,3.979034,-0.000000,0.000000
0.020000,6.669855,16.050000,0.669894,2.228259,3.979034,0.000000,0.000000
0.020000,6.716011,16.050000,0.716051,2.307840,3.979034,0.000000,0.000000
0.020000,6.763760,16.050000,0.763800,2.387420,3.979034,-0.000000,0.000000
0.020000,6.813100,16.050000,0.813140,2.467001,3.979034,0.000000,0.000000
0.020000,6.864031,16.050000,0.864071,2.546582,3.979034,0.000000,0.000000
0.020000,6.916555,16.050000,0.916595,2.626162,3.979034,0.000000,0.000000
0.020000,6.970670,16.050000,0.970709,2.705743,3.979034,-0.000000,0.000000
0.020000,7.026376,16.050000,1.026416,2.785324,3.979034,0.000000,0.000000
0.020000,7.083674,16.050000,1.083714,2.864904,3.979034,0.000000,0.000000
0.020000,7.142564,16.050000,1.142604,2.944485,3.979034,-0.000000,0.000000
0.020000,7.203045,16.050000,1.203085,3.024066,3.979034,0.000000,0.000000
0.020000,7.265118,16.050000,1.265158,3.103646,3.979034,-0.000000,0.000000
0.020000,7.328783,16.050000,1.328822,3.183227,3.979034,0.000000,0.000000
0.020000,7.394039,16.050000,1.394079,3.262808,3.979034,0.000000,0.000000
0.020000,7.460887,16.050000,1.460926,3.342388,3.979034,-0.000000,0.000000
0.020000,7.529326,16.050000,1.529366,3.421969,3.979034,0.000000,0.000000
0.020000,7.599357,16.050000,1.599397,3.501550,3.979034,-0.000000,0.000000
0.020000,7.670980,16.050000,1.671019,3.581130,3.979034,0.000000,0.000000
0.020000,7.744194,16.050000,1.744234,3.660711,3.979034,-0.000000,0.000000
0.020000,7.819000,16.050000,1.819039,3.740292,3.979034,0.000000,0.000000
0.020000,7.895397,16.050000,1.895437,3.819872,3.979034,-0.000000,0.000000
0.020000,7.973386,16.050000,1.973426,3.899453,3.979034,0.000000,0.000000
0.020000,8.052967,16.050000,2.053007,3.979034,3.979034,0.000000,0.000000
0.020000,8.134139,16.050000,2.134179,4.058615,3.979034,-0.000000,0.000000
0.020000,8.216903,16.050000,2.216943,4.138195,3.979034,0.000000,0.000000
0.020000,8.301259,16.050000,2.301298,4.217776,3.979034,-0.000000,0.000000
